,premise,text,stance
0,Coronavirus is genetically engineered.,The #coronavirus is an act of war !,0
1,Coronavirus is genetically engineered.,The #coronavirus was a scam .,0
2,Coronavirus is genetically engineered.,Now #coronavirus is a racial issue . Fuck these ppl .,0
3,Coronavirus is genetically engineered.,#Coronavirus is a black swan ...,0
4,Coronavirus is genetically engineered.,#Coronavirus of course we do .,0
5,Coronavirus is genetically engineered.,Be Safe from #coronavirus infection .,0
6,Coronavirus is genetically engineered.,@USER The same lab where the #coronavirus originated from ?,0
7,Coronavirus is genetically engineered.,HTTPURL #CoronavirusOutbreak Things that make you think Hmmmmm .,0
8,Coronavirus is genetically engineered.,What are the symptoms of #CoronaVirus ?,0
9,Coronavirus is genetically engineered.,#Covid-19 is actually #Wuhan-400 China must be punished .,0
10,Coronavirus is genetically engineered.,@USER #WuhanCoronaVirus was manufactured in #China as part of a #BioTerrorism experiment that probably went bad .,0
11,Coronavirus is genetically engineered.,I wonder if #covid19 is a biological weapon that is worse than nuclear .,0
12,Coronavirus is genetically engineered.,how much money is the healthcare industry making off of #coronavirus ?,0
13,Coronavirus is genetically engineered.,I am more concerned about the Diabetes epidemic than #coronavirus .,0
14,Coronavirus is genetically engineered.,@USER Most likely #Corona is experimented as #Biokogical weapon .,0
15,Coronavirus is genetically engineered.,The #coronavirus bamboozled us #All .,0
16,Coronavirus is genetically engineered.,The #coronavirus does n't have an ethnicity . Only a fool would think otherwise .,0
17,Coronavirus is genetically engineered.,"HTTPURL The #CCP #coronavirus is rapidly losing its potency in Italy . As one would expect from an unnatural , that is , genetically engineered , virus .",0
18,Coronavirus is genetically engineered.,#Covid_19 is fake . Shut . Up .,0
19,Coronavirus is genetically engineered.,"In your opinion , is the potential threat from the #coronavirus being exaggerated ?",0
20,Coronavirus is genetically engineered.,@USER #Covid_19 IS A FRAUD .,0
21,Coronavirus is genetically engineered.,#coronavirus lockdown continues !,0
22,Coronavirus is genetically engineered.,#Coronavirus can some one tell me how it spreaded .,0
23,Coronavirus is genetically engineered.,The person that died of coronavirus was probably killed by Hillary Clinton ! #Coronavirus is a hoax !,0
24,Coronavirus is genetically engineered.,Some of yall using this #coronavirus for clout .,0
25,Coronavirus is genetically engineered.,How is your business impacted by the #coronavirus ?,0
26,Coronavirus is genetically engineered.,First report of #coronavirus in Bhutan .,0
27,Coronavirus is genetically engineered.,Expose #CORONAVIRUS do not hide it destroys every one .,0
28,Coronavirus is genetically engineered.,This crazed reaction to the #coronavirus is categorically moronic .,0
29,Coronavirus is genetically engineered.,"Is #CoronaVirus #Covid_19 a Natural Virus from Chinese Wet Markets where people eat LIVE Bats , Cats & Dogs or a Manufactured BioWeapon ?",0
30,Coronavirus is genetically engineered.,I want to know how people are recovering from #coronavirus . What is the treatment protocol ?,0
31,Coronavirus is genetically engineered.,Which administration has handled #coronavirus the best .,0
32,Coronavirus is genetically engineered.,The #coronavirus is a form of biological warfare from China,0
33,Coronavirus is genetically engineered.,"If you thought #CoronaVirusUpdate is strange , this might explain it .",0
34,Coronavirus is genetically engineered.,JK the studio is closed indefinitely for #coronavirus .,0
35,Coronavirus is genetically engineered.,#Coronavirus The people of the world are being lied to by governments regarding the severity and spread of this virus to save the world economy .,0
