,Unnamed: 0,premise,text,stance
0,0.0,face masks,"@SuzanneEvans1 @Jo_Turandot @LadyTrumpington Surgeons &amp; nurses wear them for hours every day standing up w/o breaks during surgeries. Cowgirl up.
",1
1,1.0,face masks,"I try to be unbiased on my Twitter.

Which is why I’m saying Wear A Mask.

Because wearing a mask isn’t political or partisan. It’s common sense and kind to your fellow human.

We all have to do our part to slow the spread of COVID-19.

",1
2,2.0,face masks,@GOPLeader So 9 out of 10 members of Congress with Covid-19 is a Republican. Doesn’t that antidotal added to science tell you something? Covid-19 doesn’t care about your politics but the politics of the Republican Party have made it worse.,1
3,3.0,face masks,@AvantiWestCoast I’m in coach F en route to London Euston from Sandwell &amp; Dudley and two people opposite me do not have a facemask on? What is the process as I feel that it is irresponsible and also they’re not following the strict guidelines like others. #covid19,1
4,4.0,face masks,"When you wear a mask, wear it correctly... cover your mouth AND nose...
#WearAMask #besmart",1
5,5.0,face masks,@Placed2nd @AngelaBelcamino Omg people say I have to wear a mask and I'm crying because I have to wear a mask to save lives boo hoo!! MAGAts are stupid!!!,1
7,7.0,face masks,"@Lowes employee correct mask wearing 100%
Customer mask wearing 90%
Customer correct mask wearing 50%
#coveryournose :mask: :mask: :mask: 
Special shoutout to the woman wearing a chin guard :rage:",1
8,8.0,face masks,"@Learning2GetBy What a bunch of hillbillies! That asshole  @DerekSloanCPC Is proud to show his supporters! :joy::joy::joy: it’s no Mensa meeting. And not a mask in site, wow, what brilliance! #canpoli #Manitoba",1
10,10.0,face masks,"@ananavarro @nanelvisfan This pandemic, like any crisis, seems to squeeze the best and the worst of us out of the shadows. And he probably preaches about What Would Jesus Do. I’ll bet he’d wear a f**king mask.#COVIDIOTS",1
11,11.0,face masks,Can y’all wear masks so we can freely drink our coffees while shopping around without a mask around our faces?!,1
12,12.0,face masks,"People who like to sew: a fat quarter of fabric is the perfect size to make two pleated masks :) cut it in half then in half again and double up two squares to make one mask. Make pleats By making 3-4 folds, sew the edges, and add ties. Done. #normalisemaskwearing ",1
13,13.0,face masks,I wonder what the coronation is to folks who buy lottery and don’t wear masks? #WearADamnMask,1
15,15.0,face masks,Is there still a pandemic or not? Everyone out there having their best summer life and I'm like this sucks #socialdistancing #Covid_19,1
