,Unnamed: 0.1,Unnamed: 0,premise,text,stance
1576,1576,1576,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .","LIVE FROM HONG KONG: To Date in 2020, Influenza (the Flu) Accounts for More Than 50 Times the Number of Deaths as the Coronavirus in Hong Kong https://t.co/Xh8JhHFxHA via @USERNAME",0
1936,1936,1936,Vitamin C cures coronavirus.,Antibacterial hand sanitizers and antibiotics will not help if you have Coronavirus... wash your hands with soap&amp; water #coronavirusnigeria #COVID2019 #2019nCoV #coronavirusInkenya #coronavirusinlagos,0
322,322,322,Hand sanitiser sold commercially does not destroy the coronavirus.,@USERNAME $PENC under the radar - On 10/15/19 patent approved for disinfectant that kills #coronavirus 99.9% of time.  On 10/18/2019 they start a series of bulk shipments of trigger sprayers.  Company has US Government contracts https://t.co/YCo5qBF460 https://t.co/C7enO4XmbN,0
2082,2082,2082,Vitamin C cures coronavirus.,"I bought 200 black face masks like a month and a half ago knowing this corona virus might kick off. Also stocked the house with pounds of rice, beans, water, and disinfectant. Feeling very good about this choice rn",0
1752,1752,1752,Coronavirus is genetically engineered.,"@USERNAME Thank you again for filtering out the data, and posting the most relevant and informative information. 

IMO, YOU, Dr. Gottlieb, should be in charge of our national response to COVID-19.",0
2017,2017,2017,A person can tell if they have coronavirus or not simply by holding their breath.,"When officials say someone has contracted coronavirus of unknown origin, it probably means they got it on facebook.",0
1026,1026,1026,Coronavirus is caused by 5G.,"Coronavirus hits mask maker Medline's operations. Companies are  being affected in different ways due to the virus. #HADM5232 https://t.co/5CYYdwF707… via 
@USERNAME",0
212,212,212,Coronavirus is genetically engineered.,"DANGEROUS! COVID-19 REINFECTION! (2/28/2020)
COVID-19 WEAPONIZATION SUCCEEDS IN
DEFEATING NATURAL IMMUNITY?
https://t.co/vWwDskzFSM",0
1186,1186,1186,A person can tell if they have coronavirus or not simply by holding their breath.,People are so free with their judgement of how people are responding of the coronavirus. It's really easy to judge from afar if it's so far removed from you. Take a moment to reflect and withhold judgement and replace it with empathy.,0
897,897,897,Coronavirus is genetically engineered.,CORONAVIRUS IS JUST THE TIP OF THE ICEBERG IN THE WAR AGAINST US https://t.co/JTQNs5ESZB via @USERNAME,0
496,496,496,Vitamin C cures coronavirus.,Man with coronavirus claims he overcame illness with ‘hot whiskey and honey’ https://t.co/XrpkvEkQC1 #FoxNews,0
