,Unnamed: 0,premise,text,stance
1129,1129.0,face masks,"Happy Monday!
#WashYourHands 
#StayHome 
",0
4072,4072.0,school closures,"5. We are social beings by our very nature of being human - 

trying to involuntary dehumanize ourselves is not sustainable - maybe for the younger generation by that I mean 5 year olds &amp; below!

We cannot teach old dogs new tricks - bring out the vaccines!",1
1780,1780.0,fauci,Fauci’s Science isn’t science it’s his fucking opinion why is he the god we listen to? are there no other opinions that warrant consideration? #Fauci #DrFauci #FireFauci #FauciFraud #science #ChinaVirus #COVID19 @marklevinshow,2
342,342.0,face masks,Wear a damn mask! Wear a damn mask! #WearADamnMask #WearAMaskSaveALife #WearADamnMask #WearAMaskSaveALife #WearADamnMask,1
572,572.0,face masks,@Charbrevolution Me too. The gov are going for the social shaming tactic ‘ your mask protects me and my mask protects you’. Same nonsence as with vaccines.,2
160,160.0,face masks,The gloves are officially off! I've had enough now! People blaming Front line NHS workers for this sh*tfest is where I draw the f*cking line! They are NOT where your blame lies! Management that implement and GOV that demand it! ENOUGH! #COVID19 #WearAMask #WearADamnMask,1
804,804.0,face masks,A call out to all you Lone Ranger mask wearers. I think you've missed the memo where it states that masks are a one use wear. Not something you stick in your pocket or bag between shops or until your next shopping trip.,2
3576,3576.0,stay at home orders,@fordnation Downtown Patio Bars are packed but kids still cant play on swing sets ? How Fkn Stupid is that?! @fordnation #Onpoli #Covididiots,0
1648,1648.0,fauci,"@jdwickie I want to see a Biden/Cuomo/Fauci Coronavirus Task Force! Enough monkeying around -- we need results and we need them NOW! The GOP has had its chance, and it was  an epic failure. 

#COVID19 
#TrumpIsNotWell",1
593,593.0,face masks,@ChuckCallesto End mask requirements to fake virus,2
562,562.0,face masks,"@GavinNewsom You really
Really
Really
Really
Really
Really
Really
Really
DON'T need to wear a mask

#MaskOff",2
826,826.0,face masks,"@saundees21 @ this point, the ONLY people who gain ""Protection"" wearing a mask are the CRIMINAL ANTIFA, who can maintain a semblance of anonymity and HUMAN TRAFFICKERS.",2
1708,1708.0,fauci,"@thebradfordfile @DanielWikowski :joy::rolling_on_the_floor_laughing::joy: So true! Hell, let's just never #ReopenAmerica :woman_facepalming: #DrFauci the fraud...how many patents/how much stock does he own regarding #Coronavirus #COVID19 vaccines:question: Is #Fauci #InOnIt with #WHO &amp; #BillGates (&amp; now #Madonna :woman_facepalming:):question:

#FollowTheMoney #Soros family involved?",2
