,Unnamed: 0,premise,text,stance
1440,1440.0,fauci,Poor #DrFauci looks exhausted on @TuckerCarlson tonight! #PLEASE take care of you toooooo :innocent: #COVID19,1
2757,2757.0,fauci,@Thomas1774Paine This guy has been breathing his own CO2 for too long.,0
2287,2287.0,fauci,"@TDen2020 And whatever you, follow @RandyRainbow...:smiling_face_with_3_hearts:

#ONEV1 
#TrumpVirus 
#VoteBlueToSaveAmerica2020",0
44,,face masks,:face_with_medical_mask: to slow down #COVID19 trtransmission HTTPURL,0
1209,1209.0,face masks,@nikstift @SenMcSallyAZ Republicans: “Other” 5 billion #McSallyout2020 #RepublicansForBiden #VoteForOurLives #TrumpVirus #TrumpVirusDeathToll156K,0
2459,2459.0,fauci,"@realDonaldTrump just stopped #DrFauci from giving his opinion on controversial drug #Hydroxycloroquine at public briefing, saying ""You know how many times he has answered that question?  Maybe 15 times.  You don't need to ask that question.  Then ends briefing. #CoronavirusUSA",0
2243,2243.0,fauci,All these cases in these battle ground States! I'm assuming this is about politics and not about any virus.  CDC is compromised beyond belief . Give everyone HCQ + Zinc,0
3115,3115.0,stay at home orders,"@SenWarren 400,000 die from medical mistakes every year.  We have seen how the medical profession can’t even count correctly. Lying about positive tests, mixing anti body with actual cases. Take this bullshit faux outrage and sell it somewhere else.",2
2614,2614.0,fauci,"@DonaldJTrumpJr Eat a dick junior, you are a whiney little bitch like your senile sperm donor #MAGAt #TrumpIsLosing #RepublicansAgainstTrump #amateur #ByeDonJr #DumpTrump #COVID19",0
2188,2188.0,fauci,"@RonWyden I'm good with NO further stimulus checks at all. How about we drop the fake plandemic game and #OPENAMERICANOW ?
#openoregon 
#trump2020",0
29,29.0,face masks,@NPR Is that Tucker Carlson?  #COVIDIOTS,1
2329,2329.0,fauci,@JoeBiden Shut downs don't stop the virus. They just kill people and delay the spread. A virus needs to spread in order to burn out.,0
2293,2293.0,fauci,"I just did a search for ""Anthony Fauci"" in Twtter accounts.
Wow.
There are a LOT of people claiming to be #DrFauci's biggest fan.

If anyone actually knows how to reach the real Dr. Fauci, he and my Dad should talk about the data analysis.

My DMs are open.

#COVID19",0
2605,2605.0,fauci,@TimNoEgo That sucks; but 65 is still alive. Enjoy what we have and resist that tangerine tinted dumpster fire!,0
