,Unnamed: 0.1,Unnamed: 0,premise,text,stance
126,126.0,126.0,Africans are more resistant to coronavirus.,"Two more cases of novel coronavirus have been confirmed in Pakistan, taking the total number of such cases to four
https://t.co/ON4ZIWOlpN",0
1539,1539.0,1539.0,Holy communion cannot be the cause of the spread of coronavirus,"Coronavirus is a global test of each nation's healthcare system.

The mortality rate will hold the truth, although, perhaps nations with good public healthcare system, will have more vulnerable citizens who would not be alive in other countries.",0
428,428.0,428.0,Vitamin C cures coronavirus.,"I’m stocked up on bottled water, canned beans, and Mac &amp; cheese. Tomorrow I’ll pick up some rice. Maybe some cans of tuna as well. 
I will NOT be picking THIS up. But not because I think it will give me the #coronavirus. I just don’t Iike it 😂🤣 https://t.co/y1olD9C6T6",0
388,,,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,Has anyone noticed this #emoji :microbe: :microbe: :microbe: Was present in the #Iphone emoji library long before the #COVID19 pandemic ? How was it that #Coronavirus was an emoji before it became a #pandemic ?,0
708,,,Vitamin C cures coronavirus.,The #coronavirus is an act of war !,0
559,559.0,559.0,Holy communion cannot be the cause of the spread of coronavirus,"The spread of coronavirus is fundamentally a political problem caused by apathy, ignorance and beliefs (contentment with ignorance). https://t.co/f5xwUgSj6N",0
450,450.0,450.0,Fennel tea cures coronavirus.,"@USERNAME How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona https://t.co/cV8pVyDvtm",0
694,,,Avocado and mint tea cures coronavirus.,No one dies from #covid_19 .,0
545,,,Coronavirus is caused by 5G.,Which administration has handled #coronavirus the best .,0
334,,,The lifetime of SARS-CoV-2 is only 12 hours.,FYI : #COVID19 is at least 10 times more dangerous than the common flu .,0
385,,,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,"Do the math . On average , #Republican states have fewer cases and deaths per capita from #covid19 #coronavirus than #Democrat states . #Trump is handling the #pandemic splendidly .",0
850,850.0,850.0,The lifetime of SARS-CoV-2 is only 12 hours.,"Novel #coronavirus (COVID-19) imaging features overlap with #SARS and #MERS: #COVID-19's imaging features are variable and nonspecific, but the imaging findings reported thus far do show 
https://t.co/tO4EYLCOzO",0
